,class,problem,code,answer,semantics
16,5,수진이는 빵을 똑같이 5조각으로 나눈 후 그중 한 조각을 먹었습니다. 미애가 같은 크기의 빵을 20조각으로 나누었습니다. 정희와 같은 양을 먹으려면 미애는 몇 조각을 먹어야 하는지 구해 보세요.,"a = 5
b = 1
c = 20
y = b * c / a
print(y)",4,수진 이 는 빵 을 똑같이 5 조각 으로 나눈 후 그중 한 조각 을 먹 었 습니다 . 미애 가 같 은 크기 의 빵 을 20 조각 으로 나누 었 습니다 . 정희 와 같 은 양 을 먹 으려면 미애 는 몇 조각 을 먹 어야 하 는지 구해 보 세요 .
17,4,"16. 20. 35, 17 중 가장 많은 약수를 가진 수의 약수는 몇 개 인지 구해보시오.","a = [16, 20, 35, 17]
b = []
y = 0
for i in a:
    c = 0
    for t in range(1, i + 1):
        if i % t == 0:
            c += 1
    b.append(c)
y = max(b)
print(y)",6,"16 . 20 . 35 , 17 중 가장 많 은 약수 를 가진 수 의 약수 는 몇 개 인지 구해 보 시 오 ."
18,6,어떤 수에 5를 곱해야 할 것을 잘못하여 9로 나누었더니 3이 되었습니다. 바르게 계산해보세요.,"a = 5
b = 9
c = 3
y = (c * b) * a
print(y)",135,어떤 수 에 5 를 곱해야 할 것 을 잘못 하 여 9 로 나누 었 더니 3 이 되 었 습니다 . 바르 게 계산 해 보 세요 .
19,8,원 A의 지름은 20센티미터입니다. 원 B의 지름은 원 A의 반지름과 같습니다. 원 A의 반지름과 원 B의 반지름의 차는 몇 센티미터 입니까?,"a = 20
b = a / 2
y = a / 2 - b / 2
print(y)",5,원 A 의 지름 은 20 센티미터 입니다 . 원 B 의 지름 은 원 A 의 반지름 과 같 습니다 . 원 A 의 반지름 과 원 B 의 반지름 의 차 는 몇 센티미터 입니까 ?
20,4,"53, 19, 43, 6 중 가장 큰 수와 가장 작은 수의 곱을 구한 값을 구하시오.","a = [53, 19, 43, 6]
b = max(a)
c = min(a)
y = b * c
print(y)",318,"53 , 19 , 43 , 6 중 가장 큰 수 와 가장 작 은 수 의 곱 을 구한 값 을 구하 시 오 ."
21,5,"민우네 가족은 사과를 땄습니다. 동생은 4.3 kg 을 땄고, 누나는 동생보다 6.2 kg 더 많이 땃습니다. 민우는 누나가 캔 고구마의 무게의 0.2보다 3310 g 더 많이 캤다면 민우가 캔 고구마는 몇 kg 입 니까?","a = 4.3
b = 6.2
c = a + b
d = 0.2
e = 3.31
y = e + c * d
print(y)",5.41,"민우 네 가족 은 사과 를 땄 습니다 . 동생 은 4 . 3 kg 을 땄 고 , 누나 는 동생 보다 6 . 2 kg 더 많이 땃 습니다 . 민우 는 누나 가 캔 고구마 의 무게 의 0 . 2 보다 3310 g 더 많이 캤 다면 민우 가 캔 고구마 는 몇 kg 입 니까 ?"
22,1,금 네 돈의 무게는 22.5g입니다. 금 한 돈의 무게는 몇 g인지 구하시오.,"a = 4
b = 22.5
y = b / a
print(y)",5.62,금 네 돈 의 무게 는 22 . 5 g 입니다 . 금 한 돈 의 무게 는 몇 g 인지 구하 시 오 .
23,1,1 분에 20km를 가는 기차와 10분에 5km를 가는 버스가 있습니다. 각각 같은 빠르기로 50분 동안 간다면 기차는 버스보다 몇 k미터를 더 갈 수 있습니까?,"a = 1
b = 20
c = 10
d = 5
e = 50
y = (e / a * b) - (e / c * d)
print(y)",975.0,1 분 에 20 km 를 가 는 기차 와 10 분 에 5 km 를 가 는 버스 가 있 습니다 . 각각 같 은 빠르기 로 50 분 동안 간다면 기차 는 버스 보다 몇 k 미터 를 더 갈 수 있 습니까 ?
24,5,"어떤 수에 30를 더한 후 5로 나누고, 3를 뺀 값에 2를 곱한 값이 12라면, 어떤 수는 얼마일까요?","a = 30
b = 5
c = 3
d = 2
e = 12
y = (e / d + c) * b - a
print(y)",15,"어떤 수 에 30 를 더 한 후 5 로 나누 고 , 3 를 뺀 값 에 2 를 곱한 값 이 12 라면 , 어떤 수 는 얼마 일까요 ?"
25,1,민규는 운동장에서 둘레가 1.57m인 굴렁쇠를 11바퀴 굴렸습니다. 민규가 굴렁쇠를 움직인 거리는 몇 m일까요?,"a = 1.57
b = 11
y = a * b
print(y)",17.27,민규 는 운동장 에서 둘레 가 1 . 57 m 인 굴렁쇠 를 11 바퀴 굴렸 습니다 . 민규 가 굴렁쇠 를 움직인 거리 는 몇 m 일까요 ?
26,4,"22, 74, 20가 있습니다. 이 중에서 가장 큰 수와 가장 작은 수를 뺀 값은 몇입니까?","a = [68, 92, 15]
y = max(a) - min(a)
print(y)",77,"22 , 74 , 20 가 있 습니다 . 이 중 에서 가장 큰 수 와 가장 작 은 수 를 뺀 값 은 몇 입니까 ?"
27,1,학생들이 운동장에서 한 줄에 7명씩 26줄로 서 있습니다. 줄을 선 학생은 모두 몇 명일까요?,"a = 26
b = 7
y = a * b
print(y)",182,학생 들 이 운동장 에서 한 줄 에 7 명 씩 26 줄 로 서 있 습니다 . 줄 을 선 학생 은 모두 몇 명 일까요 ?
28,5,36을 어떤 수로 나누었더니 9로 나누어 떨어졌습니다. 어떤 수는 얼마인지 구하시오. ,"a = 36
b = 9
y = a / b
print(y)",4,36 을 어떤 수 로 나누 었 더니 9 로 나누 어 떨어졌 습니다 . 어떤 수 는 얼마 인지 구하 시 오 .
29,1,지우개가 한 상자에 45 개씩 8 상자 있습니다. 지우개는 총 몇 개 있을까요?,"a = 45
b = 8
y = a * b
print(y)",360,지우개 가 한 상자 에 45 개 씩 8 상자 있 습니다 . 지우개 는 총 몇 개 있 을까요 ?
30,1,올해 지민이의 나이는 8살이고 오빠의 나이는 14살입니다. 지민이가 20살이면 오빠는 몇 살일까요?,"a = 8
b = 14
c = 20
y = b - a + c
print(y)",26,올해 지민 이 의 나이 는 8 살 이 고 오빠 의 나이 는 14 살 입니다 . 지민 이 가 20 살 이 면 오빠 는 몇 살 일까요 ?
31,7,"명숙이네 학교 여학생은 451명, 남학생은 400명 있다면, 명숙이네 학교에는 남학생과 여학생 중 누가 더 많은지 구하세요.","a = 451
b = 400
dicts = {""여학생"": a, ""남학생"": b}
y = max(dicts, key=dicts.get)
print(y)",여학생,"명숙 이 네 학교 여학생 은 451 명 , 남학생 은 400 명 있 다면 , 명숙 이 네 학교 에 는 남학생 과 여학생 중 누가 더 많 은지 구하 세요 ."
32,6,어떤 수에 23을 곱해야 하는데 실수로 40을 빼었더니 72가 되었습니다. 바르게 계산해 보세요.,"a = 23
b = 40
c = 72
y = (c + b) * a 
print(y)",2576,어떤 수 에 23 을 곱해야 하 는데 실수 로 40 을 빼 었 더니 72 가 되 었 습니다 . 바르 게 계산 해 보 세요 .
33,1,사탕이 한 봉지에 25개씩 들어 있습니다. 62봉지에 들어 있는 사탕은 모두 몇 개일 지 계산해보세요.,"a = 25
b = 62
y = a * b
print(y)",1550,사탕 이 한 봉지 에 25 개 씩 들 어 있 습니다 . 62 봉지 에 들 어 있 는 사탕 은 모두 몇 개 일 지 계산 해 보 세요 .
34,8,직사각형의 넓이가 20km²이고 세로가 4km라고 합니다. 이 직사각형의 가로는 몇 m인가요?,"a = 20
b = 4
y = a / b * 1000
print(y)",5000,직사각 형 의 넓이 가 20 km ² 이 고 세로 가 4 km 라고 합니다 . 이 직사각 형 의 가로 는 몇 m 인가요 ?
35,5,100 - 200 - 300 - 400과 같은 규칙으로 500에서 5번 뛰어 센 수를 구해보시오.,"a = 200
b = 100
c = a - b
d = 500
y = d + c * 5
print(y)",1000,100 - 200 - 300 - 400 과 같 은 규칙 으로 500 에서 5 번 뛰 어 센 수 를 구해 보 시 오 .
36,1,농구공 18개를 보관함 3개에 똑같이 나누어 담으려고 합니다. 보관함 1개에 농구공을 몇 개씩 담을 수 있습니까?,"a = 18
b = 3
y = int(a / b)
print(y)",6,농구공 18 개 를 보관함 3 개 에 똑같이 나누 어 담 으려고 합니다 . 보관함 1 개 에 농구공 을 몇 개 씩 담 을 수 있 습니까 ?
37,4,"각도 80°, 70°, 65°가 있습니다. 이중에서, 가장 큰 각도와 가장 작은 각도의 차를 구하시오.","a = [80, 70, 65]
y = max(a) - min(a)
print(y)",15,"각도 80 °, 70 °, 65 ° 가 있 습니다 . 이 중 에서 , 가장 큰 각도 와 가장 작 은 각도 의 차 를 구하 시 오 ."
38,2,"진희, 희정, 윤빈, 정현이가 순서대로 줄을 서 있습니다. 4번째에 서 있는 사람은 누구인가요?","a = ['진희', '희정', '윤빈', '정현']
b = 4
y = a[b - 1]
print(y)",정현,"진희 , 희정 , 윤 빈 , 정현 이 가 순서 대로 줄 을 서 있 습니다 . 4 번 째 에 서 있 는 사람 은 누구 인가요 ?"
39,1,"빨간색 끈의 길이는 6.5m이고 초록색 끈의 길이는 3.4m입니다. 빨간색 끈의 길이는 초록색 끈의 길이의 몇 배인지 구하고, 반올림하여 소수 둘째 자리까지 나타내시오..","a = 6.5
b = 3.4
y = a / b
print(""{:.2f}"".format(y))",1.91,"빨간색 끈 의 길이 는 6 . 5 m 이 고 초록색 끈 의 길이 는 3 . 4 m 입니다 . 빨간색 끈 의 길이 는 초록색 끈 의 길이 의 몇 배 인지 구하 고 , 반올림 하 여 소수 둘째 자리 까지 나타내 시 오 . ."
40,8,넓이가 32.68센티미터인 원의 반지름의 길이가 다섯 배가 될 경우 둘레는 몇 센티미터인가요?,"import math

a = 32.68
b = 5
c = math.pi
y = (((a ** 0.5) / c) * b * c * 2) 
print(y)",57.17,넓이 가 32 . 68 센티미터 인 원 의 반지름 의 길이 가 다섯 배 가 될 경우 둘레 는 몇 센티미터 인가요 ?
41,1,승준이는 우유를 매일 0.7L씩 마십니다. 승준이가 5일 동안 마실 우유를 준비하려면 1L짜리 우유를 적어도 몇 개 구매해야할까요?,"from math import ceil

a = 0.7
b = 5
c = 1
y = ceil(a * b / c)
print(y)",4,승준 이 는 우유 를 매일 0 . 7 L 씩 마십니다 . 승준 이 가 5 일 동안 마실 우유 를 준비 하 려면 1 L 짜리 우유 를 적어도 몇 개 구매 해야 할까요 ?
42,8,한 변의 길이가 84/8cm인 정사각형이 있습니다. 이 정사각형의 둘레는 몇 cm인지 구하시오.,"a = 84/8
b = 4
y = a * b
print(y)",42,한 변의 길이 가 84 / 8 cm 인 정사각형 이 있 습니다 . 이 정사각형 의 둘레 는 몇 cm 인지 구하 시 오 .
43,1,"학교 체육관에 남학생이 25명, 여학생이 21명 있었는데 이 중에서 13명이 교실로 들어갔습니다. 체육관에 남아 있는 학생은 몇 명일까요?","a = 25
b = 21
c = 13
y = a + b - c
print(y)",33,"학교 체육관 에 남학생 이 25 명 , 여학생 이 21 명 있 었 는데 이 중 에서 13 명 이 교실 로 들어갔 습니다 . 체육관 에 남 아 있 는 학생 은 몇 명 일까요 ?"
44,1,자동차 한 대를 주차하는 데 1/2 시간에 4500 원이라고 합 니다. 자동차 4 대를 2 시간 동안 주차하고 주차료를 8 사람이 똑같이 나누어 내기로 했다면 한 사람이 내야하는 금액은 얼마일까요?,"a = 1/2
b = 4500
c = 4
d = 2
e = 8
y = b / a * c * d / e
print(y)",9000,자동차 한 대 를 주차 하 는 데 1 / 2 시간 에 4500 원 이 라고 합 니 다 . 자동차 4 대 를 2 시간 동안 주차 하 고 주차료 를 8 사람 이 똑같이 나누 어 내 기 로 했 다면 한 사람 이 내 야 하 는 금액 은 얼마 일까요 ?
45,6,어떤 수를 3으로 나누어야 할 것을 실수로 4를 뺐더니 23이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 3
b = 4
c = 23
y = (c + b) / a 
print(y)",9,어떤 수 를 3 으로 나누 어야 할 것 을 실수 로 4 를 뺐 더니 23 이 되 었 습니다 . 바르 게 계산 하 면 얼마 입니까 ?
46,8,넓이가 50센티미터제곱인 마름모의 한 대각선이 10cm일 때 다른 대각선은 몇 cm 입니까?,"a = 50
b = 10
y = a * 2 / b
print(y)",10,넓이 가 50 센티미터 제곱 인 마름모 의 한 대각선 이 10 cm 일 때 다른 대각선 은 몇 cm 입니까 ?
47,4,"4.24, 2.36, 4.8 중 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","a = [4.24, 2.36, 4.8]
b = max(a)
c = min(a)
y = b + c
print(y)",7.16,"4 . 24 , 2 . 36 , 4 . 8 중 가장 큰 수 와 가장 작 은 수 의 합 은 얼마 입니까 ?"
48,1,"학교에서 세훈이네 집까지의 거리는 학교에서 승호네 집 까지의 거리의 3 배라고합니다. 학교에서 세훈이네 집까지의 거리가 9.3 km 일 때, 학교에서 승호네 집까지의 거리는 몇 km 입니까?","a = 9.3
b = 3
y = a / b
print(y)",3.10,"학교 에서 세훈 이 네 집 까지 의 거리 는 학교 에서 승호 네 집 까지 의 거리 의 3 배 라고 합니다 . 학교 에서 세훈 이 네 집 까지 의 거리 가 9 . 3 km 일 때 , 학교 에서 승호 네 집 까지 의 거리 는 몇 km 입니까 ?"
49,8,원 안에 마름모의 넓이가 90cm²일 때 원의 반지름은 몇 cm일까요?,"a = 90
y = (a * 2) ** (1 / 2) / 2
print(y)",6.708203932499369,원 안 에 마름모 의 넓이 가 90 cm ² 일 때 원 의 반지름 은 몇 cm 일까요 ?
50,1,"사과 250개를 한 상자에 10개씩 담아 팔려고 한다면, 몇 상자를 팔 수 있는지 구하시오.","a = 250
b = 10
y = a // b
print(y)",25,"사과 250 개 를 한 상자 에 10 개 씩 담 아 팔 려고 한다면 , 몇 상자 를 팔 수 있 는지 구하 시 오 ."
51,8,"직사각형의 가로 길이가 30cm, 세로 길이가 20cm이라면, 이 직사각형의 넓이는 몇 cm²입니까?","a = 30
b = 20
y = a * b
print(y)",600,"직사각 형 의 가로 길이 가 30 cm , 세로 길이 가 20 cm 이 라면 , 이 직사각 형 의 넓이 는 몇 cm ² 입니까 ?"
52,8,"원 모양의 탁자가 있습니다. 탁자의 지름이 30cm이라면, 탁자의 넓이는 몇 cm^2인가요? 원주율은 3.14로 계산합니다.","a = 30
b = 3.14
c = 2
y = (a / c) * (a / c) * b    
print(y)",706.50,"원 모양 의 탁자 가 있 습니다 . 탁자 의 지름 이 30 cm 이 라면 , 탁자 의 넓이 는 몇 cm ^ 2 인가요 ? 원주율 은 3 . 14 로 계산 합니다 ."
53,1,746 - 246를 계산해보세요.,"a = 746
b = 246
y = a - b
print(y)",500,746 - 246 를 계산 해 보 세요 .
54,1,블록을 쌓아 성을 지으려고 합니다. 한 층을 만드는 데 블록 20개가 필요합니다. 3층짜리 성을 만들기 위해서는 블록 몇 개가 필요합니까?,"a = 20
b = 3
y = a * b
print(y)",60,블록 을 쌓 아 성 을 지으려고 합니다 . 한 층 을 만드 는 데 블록 20 개 가 필요 합니다 . 3 층 짜리 성 을 만들 기 위해서 는 블록 몇 개 가 필요 합니까 ?
55,1,윤성이는 사탕을 한 봉지에 10개씩 16봉지 담아서 4명에게 똑같이 나누어 주었습니다. 한 사람이 가지게 되는 사탕은 몇 개인가요?,"a = 10
b = 16
c = 4
y = a * b // c
print(y)",40,윤성이 는 사탕 을 한 봉지 에 10 개 씩 16 봉지 담 아서 4 명 에게 똑같이 나누 어 주 었 습니다 . 한 사람 이 가지 게 되 는 사탕 은 몇 개 인가요 ?
56,8,"밑변이 10센티미터, 윗변이 2센티미터, 높이가 5센티미터인 사다리꼴이 있습니다. 사다리꼴의 넓이를 구하세요.","a = 10
b = 2
c = 5
y = (a + b) * c / 2
print(y)",30,"밑변 이 10 센티미터 , 윗변 이 2 센티미터 , 높이 가 5 센티미터 인 사다리꼴 이 있 습니다 . 사다리꼴 의 넓이 를 구하 세요 ."
57,8,네 변의 길이의 합이 88cm 인 직사각형의 가로가 32cm 라면 세로는 몇 cm 입니까?,"a = 88
b = 32
y = (a - b * 2) / 2
print(y)",12,네 변의 길이 의 합 이 88 cm 인 직사각 형 의 가로 가 32 cm 라면 세로 는 몇 cm 입니까 ?
58,1,두웅이는 460 원짜리 색연필 2 자루와 610 원짜리 포스트잇 3 개를 사고 3000원을 냈습니다. 두웅이가 받을 거스름돈은 얼마인지 답을 구하여라.,"a = 460
b = 2
c =610
d = 3
e = 3000
y = e - (a * b + c * d)
print(y)",250,두 웅 이 는 460 원 짜리 색연필 2 자루 와 610 원 짜리 포스트잇 3 개 를 사고 3000 원 을 냈 습니다 . 두 웅 이 가 받 을 거스름돈 은 얼마 인지 답 을 구하 여라 .
59,8,"가로의 길이가 21cm, 세로의 길이가 15cm인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 cm²입니까?","a = 21
b = 15
y = a * b
print(y)",315,"가로 의 길이 가 21 cm , 세로 의 길이 가 15 cm 인 직사각형 이 있 습니다 . 이 직사각 형 의 넓이 는 몇 cm ² 입니까 ?"
60,8,"길이가 55 센티미터인 실을 사용하여 가장 큰 정수 센티미터의 정사각형 모양을 만들었다면, 만들고 남은 실의 길이는 몇 센티미터 입니까?","a = 55
b = 4
c = a // b
y = a - (b * c)
print(y)",3,"길이 가 55 센티미터 인 실 을 사용 하 여 가장 큰 정수 센티미터 의 정사각형 모양 을 만들 었 다면 , 만들 고 남 은 실 의 길이 는 몇 센티미터 입니까 ?"
61,1,수효네 제과점에서 오늘 크림빵을 500개 만들었습니다. 이 크림빵을 25개까지 넣을 수 있는 상자에 모두 넣을 때 필요한 상자는 최소 몇 개일까?,"import math
a = 500
b = 25
y = math.ceil(a / b)
print(y)",20,수효 네 제과점 에서 오늘 크림빵 을 500 개 만들 었 습니다 . 이 크림빵 을 25 개 까지 넣 을 수 있 는 상자 에 모두 넣 을 때 필요 한 상자 는 최소 몇 개 일까 ?
62,3,1부터 9까지의 수 중에서 다음 식 10 * A > 88을 만족하는 수는 모두 몇 개인가요?,"a = 1
b = 9
c = 88
d = 10
y = 0
for i in range(a, b + 1):
    if i > c / d:
        y += 1
print(y)",1,1 부터 9 까지 의 수 중 에서 다음 식 10 * A > 88 을 만족 하 는 수 는 모두 몇 개 인가요 ?
63,8,모든 모서리의 길이가 같은 사각뿔이 있습니다. 모서리의 길이의 합이 60m 일 때 한 모서리의 길이는 몇 m 입 니까?,"a = 60
b = 4
y = a / (b * 2)
print(y)",7.50,모든 모서리 의 길이 가 같 은 사각뿔 이 있 습니다 . 모서리 의 길이 의 합 이 60 m 일 때 한 모서리 의 길이 는 몇 m 입 니까 ?
64,8,"가로가 12cm, 세로가 7cm 인 직사각형의 네 변의 길이의 합은 몇cm 입니까?","a = 12
b = 7
y = (a + b) * 2
print(y)",38,"가로 가 12 cm , 세로 가 7 cm 인 직사각 형 의 네 변의 길이 의 합 은 몇 cm 입니까 ?"
65,6,어떠한 숫자를 7로 나누어야 할 것을 잘못하여 어떤 수에 3를 곱했더니 46.5가 되었습니다. 바르게 계산한 몫은 얼마인지 구하여 보시오.,"a = 7
b = 3
c = 46.5
y = c / b / a
print(y)",2.21,어떠 한 숫자 를 7 로 나누 어야 할 것 을 잘못 하 여 어떤 수 에 3 를 곱했 더니 46 . 5 가 되 었 습니다 . 바르 게 계산 한 몫 은 얼마 인지 구하 여 보 시 오 .
66,1,"이삿짐 9.7t을 이삿짐 차에 모두 실으려고 합니다. 차 한대에 2t씩 실을 수 있다고 하면, 최소 몇대의 이삿짐 차를 불러야합니까?","from math import ceil
a = 9.7
b = 2
y = ceil(a / b)
print(y)",5,"이삿짐 9 . 7 t 을 이삿짐 차 에 모두 실으려고 합니다 . 차 한대 에 2 t 씩 실 을 수 있 다고 하 면 , 최소 몇 대 의 이삿짐 차 를 불러야 합니까 ?"
67,1,"어떤 수를 8으로 나누었더니 12가 되었다면, 어떤 수는 얼마일까요?","a = 8
b = 12
y = a * b
print(y)",96,"어떤 수 를 8 으로 나누 었 더니 12 가 되 었 다면 , 어떤 수 는 얼마 일까요 ?"
68,1,구슬이 24개 있습니다. 이 구술을 4명이 똑같이 나누어 가지면 한 명당 몇 개를 가지게 될까요?,"a = 24
b = 4
y = a // b
print(y)",6,구슬 이 24 개 있 습니다 . 이 구술 을 4 명 이 똑같이 나누 어 가지 면 한 명 당 몇 개 를 가지 게 될까요 ?
69,8,한 변의 길이가 60센티미터인 정사각형과 둘레가 같은 정육각형의 한 변의 길이는 몇 센티미터입니까?,"a = 60
b = 4
c = 6
y = a * b / c
print(y)",40,한 변의 길이 가 60 센티미터 인 정사각형 과 둘레 가 같 은 정육각형 의 한 변의 길이 는 몇 센티미터 입니까 ?
70,1,"지하철에 20명이 타고 있었습니다. 다음역에 도착하여11 명이 내리고, 3명이 탔습니다. 지금 지하철에 타고 있는 사람은 몇 명인지 답을 구하세요.","a = 20
b = 11
c = 3
y = a - b + c
print(y)",12,"지하철 에 20 명 이 타 고 있 었 습니다 . 다음 역 에 도착 하 여 11 명 이 내리 고 , 3 명 이 탔 습니다 . 지금 지하철 에 타 고 있 는 사람 은 몇 명 인지 답 을 구하 세요 ."
